Time_ms,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10,Sensor 11,Sensor 12,Sensor 13,Sensor 14,Sensor 15,Sensor 16,Sensor 17,Sensor 18,Sensor 19,Sensor 20,Sensor 21,Sensor 22,Sensor 23,Sensor 24
51440,96.37,101.83,31.47,29.25,30.58,30.58,33.62,30.75,31.11,31.93,32.51,32.12,64.25,36.96,33.21,31.84,40.58,44.6,38.14,38.97,39.25,38.69,43,98.12
3705,97.24,95.52,31.2,29.41,30.58,30.49,32.91,30.66,31.2,31.93,32.51,32.12,39.39,36.59,33.01,31.84,40.27,44.42,38.01,38.97,39.25,38.69,43,90.7
3725,97.24,95.52,31.2,29.41,30.58,30.49,32.81,30.66,31.2,31.93,32.51,32.03,39.39,36.46,33.01,31.84,40.43,44.42,38.01,38.97,39.25,38.55,43,91.47
3744,97.24,94.68,31.2,29.41,30.58,30.49,32.81,30.66,31.2,31.93,32.41,32.03,40.88,36.59,33.01,31.84,40.43,44.42,38.01,38.97,39.25,38.55,42.83,90.7
3764,96.37,94.68,31.29,29.41,30.58,30.49,32.91,30.66,31.2,31.93,32.51,32.12,39.39,36.46,33.01,31.84,40.43,44.42,38.01,38.97,39.25,38.69,42.83,91.47
3783,98.12,96.37,31.29,29.41,30.58,30.49,32.81,30.66,31.2,31.93,32.51,32.03,39.39,36.59,33.01,31.84,40.43,44.42,38.01,38.97,39.25,38.69,43,91.47
3803,97.24,95.52,31.29,29.41,30.58,30.49,32.81,30.66,31.2,31.93,32.51,32.12,39.39,36.59,33.01,31.84,40.43,44.42,38.01,38.97,39.25,38.55,43,91.47
3824,98.12,95.52,31.2,29.41,30.58,30.49,32.91,30.75,31.2,31.93,32.41,32.03,39.39,36.46,33.01,31.84,40.43,44.42,38.01,38.97,39.25,38.69,43,91.47
3842,98.12,96.37,31.2,29.41,30.58,30.49,32.91,30.66,31.2,31.93,32.41,32.03,39.39,36.59,33.01,31.84,40.43,44.42,38.01,38.97,39.25,38.69,42.83,91.47
3862,97.24,96.37,32.71,29.41,30.66,30.49,32.91,30.66,31.2,31.93,32.41,32.12,39.39,36.59,33.01,31.84,40.43,44.42,38.01,38.97,39.25,38.55,42.83,91.47
3881,97.24,96.37,32.91,29.41,30.75,30.49,32.91,30.66,31.2,31.93,32.41,32.12,39.39,36.59,33.01,31.84,40.43,44.24,38.01,38.97,39.25,38.55,42.83,91.47
3901,98.12,96.37,33.11,29.41,30.75,30.49,32.91,30.66,31.2,31.84,32.51,32.12,43.35,36.59,33.01,31.84,40.43,44.24,37.87,38.83,39.25,38.69,43,91.47
3920,98.12,96.37,33.11,29.41,30.66,30.49,32.91,30.66,31.2,31.93,32.41,32.03,39.39,36.59,33.01,31.84,40.43,44.24,38.01,38.83,39.25,38.69,43,91.47
3940,98.12,96.37,33.62,29.41,30.66,30.49,32.91,30.66,31.2,31.93,32.41,32.12,39.39,36.59,33.01,31.84,40.43,44.24,38.01,38.97,39.25,38.69,43,91.47
3959,97.24,96.37,33.52,29.33,30.66,30.49,32.91,30.66,31.2,31.93,32.41,32.03,39.39,36.59,33.01,31.84,40.43,44.24,38.01,38.83,39.25,38.69,42.83,91.47
