Time_ms,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10,Sensor 11,Sensor 12,Sensor 13,Sensor 14,Sensor 15,Sensor 16,Sensor 17,Sensor 18,Sensor 19,Sensor 20,Sensor 21,Sensor 22,Sensor 23,Sensor 24
41128,96.37,99.02,33.73,29.49,30.23,30.4,32.61,30.93,31.38,31.47,32.32,31.93,39.25,34.59,32.61,31.29,40.12,45.16,38.83,38.69,40.12,38.41,43.17,90.7
56527,98.12,102.8,31.29,29.41,30.4,30.66,65.42,30.93,31.11,31.84,32.41,32.12,39.11,34.59,32.81,31.75,40.12,46.32,38.41,38.41,39.83,38.69,43.35,86.35
56547,97.24,102.8,31.29,29.41,30.4,30.66,65.02,31.02,31.02,31.84,32.32,32.12,39.11,34.71,32.91,31.75,40.12,46.52,38.27,38.55,39.83,38.69,43.35,70.09
56566,97.24,102.8,31.29,29.41,30.4,30.66,65.02,30.93,31.02,31.84,32.32,32.12,39.25,34.71,32.91,31.75,40.12,46.32,38.27,38.55,39.83,38.69,43.35,72.44
56586,97.24,101.83,31.29,29.41,30.4,30.66,65.02,31.02,31.11,31.84,32.32,32.12,39.25,34.59,32.91,31.75,40.12,46.32,38.41,38.55,39.83,38.69,43.35,73.93
56605,97.24,102.8,31.29,29.41,30.4,30.66,65.02,31.02,31.11,31.84,32.32,32.12,39.25,34.71,32.81,31.65,40.12,46.32,38.41,38.55,39.83,38.69,43.35,74.95
56625,97.24,102.8,31.29,29.41,30.4,30.66,65.02,31.02,31.02,31.84,32.32,32.12,39.25,34.71,32.81,31.65,40.12,46.52,38.41,38.55,39.83,38.69,43.35,77.65
56646,97.24,102.8,31.29,29.41,30.4,30.66,64.63,31.02,31.11,31.84,32.32,32.12,39.25,34.71,32.91,31.65,40.12,46.32,38.41,38.55,39.83,38.69,43.35,90.7
56666,97.24,102.8,31.29,29.41,30.4,30.66,65.02,31.02,31.02,31.84,32.32,32.12,39.25,34.71,32.91,31.75,40.12,46.52,38.41,38.55,39.83,38.69,43.35,81.15
56684,97.24,102.8,31.29,29.41,30.4,30.66,64.63,31.02,31.02,31.84,32.32,32.12,39.25,34.71,32.91,31.75,40.12,46.52,38.41,38.55,39.83,38.69,43.35,81.77
56705,97.24,102.8,31.29,29.41,30.49,30.58,55.64,31.02,31.02,31.84,32.32,32.03,39.25,34.71,32.81,31.75,40.12,46.52,38.41,38.55,39.83,38.69,43.35,90.7
56723,97.24,101.83,31.29,29.41,30.4,30.66,38.41,31.02,31.02,31.84,32.32,32.03,39.25,34.71,32.91,31.75,40.12,46.52,38.41,38.55,39.83,38.69,43.35,90.7
56744,97.24,101.83,31.29,29.41,30.4,30.66,39.25,31.02,31.11,31.84,32.32,32.12,39.25,34.71,32.91,31.75,40.12,46.52,38.41,38.55,39.83,38.69,43.35,89.95
56762,97.24,101.83,31.29,29.41,30.49,30.66,46.13,31.02,31.11,31.84,32.32,32.03,39.11,34.71,32.91,31.75,40.12,46.52,38.41,38.55,39.83,38.55,43.35,90.7
