Time_ms,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10,Sensor 11,Sensor 12,Sensor 13,Sensor 14,Sensor 15,Sensor 16,Sensor 17,Sensor 18,Sensor 19,Sensor 20,Sensor 21,Sensor 22,Sensor 23,Sensor 24
57842,41.51,100.87,31.02,29.25,30.49,30.49,31.93,30.66,31.02,31.93,32.51,32.03,83.67,35.74,33.31,31.93,40.27,45.35,38.14,38.97,39.83,38.69,43,97.24
52091,102.8,102.8,31.47,29.33,30.58,30.58,33.11,30.75,42.83,32.03,32.51,32.12,40.88,36.84,33.21,31.93,40.43,44.79,38.01,39.11,39.25,38.69,43.17,98.12
52167,101.83,102.8,31.47,29.33,30.58,30.58,33.11,30.75,43.52,31.93,32.41,32.12,40.58,36.84,33.11,31.93,40.43,44.79,38.01,39.11,39.25,38.69,43,98.12
52185,101.83,102.8,31.47,29.25,30.58,30.58,33.11,30.75,43.7,31.93,32.51,32.12,41.04,36.84,33.21,31.84,40.43,44.79,38.01,39.11,39.25,38.69,43,99.02
52205,102.8,102.8,31.47,29.33,30.58,30.58,33.11,30.75,43.7,31.84,32.51,32.12,43,36.84,33.21,31.84,40.27,44.6,38.01,38.97,39.25,38.55,43,98.12
52226,102.8,102.8,31.47,29.33,30.58,30.58,33.11,30.75,42.33,31.84,32.51,32.12,45.35,36.84,33.21,31.93,40.43,44.6,38.01,38.97,39.25,38.69,43,98.12
52244,102.8,102.8,31.47,29.33,30.58,30.58,33.11,30.75,43.17,31.84,32.51,32.03,40.58,36.71,33.21,31.84,40.43,44.6,38.14,38.97,39.25,38.69,43,98.12
52265,101.83,101.83,31.47,29.33,30.58,30.66,33.21,30.75,43,31.84,32.51,32.12,40.58,36.71,33.21,31.84,40.43,44.79,38.01,39.11,39.25,38.69,43,98.12
52285,101.83,101.83,31.47,29.33,30.58,30.58,33.11,30.75,43.7,31.84,32.51,32.12,40.58,36.84,33.21,31.93,40.43,44.6,38.01,38.97,39.25,38.69,43,98.12
52304,101.83,101.83,31.47,29.33,30.58,30.66,33.11,30.75,42.66,31.84,32.51,32.12,40.58,36.84,33.21,31.93,40.27,44.6,38.14,39.11,39.11,38.69,43,99.02
52324,101.83,101.83,31.47,29.33,30.58,30.58,33.11,30.75,42.83,31.84,32.51,32.12,41.04,36.84,33.21,31.93,40.43,44.6,38.14,39.11,39.25,38.69,43,95.52
52343,101.83,101.83,31.47,29.33,30.58,30.66,33.11,30.75,42.83,31.84,32.51,32.12,40.58,36.84,33.21,31.84,40.27,44.6,38.01,38.97,39.25,38.69,43,99.94
52363,102.8,101.83,31.47,29.33,30.58,30.58,33.11,30.75,42.83,31.84,32.51,32.12,40.73,36.84,33.21,31.84,40.27,44.6,38.01,39.11,39.25,38.69,43,98.12
52384,101.83,101.83,31.47,29.33,30.58,30.66,33.11,30.75,42.66,31.84,32.51,32.12,40.73,36.96,33.21,31.93,40.43,44.6,38.01,38.97,39.25,38.69,43,98.12
52402,101.83,101.83,31.47,29.33,30.58,30.66,33.11,30.75,42.33,31.84,32.51,32.12,40.88,36.71,33.21,31.93,40.43,44.6,38.01,38.97,39.25,38.69,43,99.94
