Time_ms,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10,Sensor 11,Sensor 12,Sensor 13,Sensor 14,Sensor 15,Sensor 16,Sensor 17,Sensor 18,Sensor 19,Sensor 20,Sensor 21,Sensor 22,Sensor 23,Sensor 24
62601,93.05,97.24,30.93,29.33,30.58,30.4,32.03,30.58,31.47,31.93,32.51,32.12,81.15,35.5,33.31,31.93,40.27,44.24,38.14,38.97,39.83,38.69,43,95.52
62622,93.05,97.24,30.93,29.33,30.49,30.4,32.03,30.58,31.56,32.03,32.51,32.12,81.77,35.5,33.31,31.84,40.27,44.24,38.01,38.83,39.83,38.69,43,94.68
62640,93.05,97.24,30.93,29.33,30.58,30.4,32.03,30.58,31.47,32.03,32.51,32.12,81.77,35.5,33.31,31.93,40.12,44.24,38.01,38.97,39.83,38.69,43,94.68
62661,93.05,97.24,31.02,29.33,30.58,30.4,32.03,30.58,31.47,32.03,32.51,32.12,81.77,35.5,33.31,31.84,40.27,44.24,38.01,38.97,39.83,38.55,43,95.52
62681,92.25,97.24,30.93,29.33,30.58,30.4,32.03,30.58,31.47,32.03,32.51,32.12,81.77,35.39,33.31,31.93,40.27,44.24,38.01,38.97,39.83,38.69,43,94.68
62699,93.86,98.12,31.47,29.25,30.58,30.4,31.93,30.58,31.47,32.03,32.51,32.12,81.77,35.5,33.31,31.93,40.27,44.24,38.01,38.97,39.83,38.55,43,95.52
62720,94.68,98.12,31.47,29.33,30.58,30.4,31.93,30.58,31.47,32.03,32.51,32.12,81.15,35.5,33.31,31.84,40.27,44.24,38.01,38.83,39.83,38.69,43,93.86
62738,93.86,98.12,31.47,29.33,30.58,30.4,31.93,30.58,31.47,32.03,32.51,32.12,81.77,35.5,33.21,31.93,40.27,44.24,38.01,38.97,39.83,38.69,43,92.25
62759,93.86,97.24,31.47,29.33,30.58,30.4,31.93,30.58,31.47,32.03,32.51,32.12,81.15,35.5,33.31,31.93,40.27,44.24,38.14,38.83,39.83,38.69,43,91.47
62777,93.05,97.24,31.47,29.33,30.49,30.4,31.93,30.58,31.47,32.03,32.51,32.12,81.77,35.5,33.21,31.93,40.27,44.24,38.14,38.83,39.83,38.69,43,91.47
62798,93.86,98.12,31.47,29.33,30.58,30.4,31.93,30.58,31.47,32.03,32.51,32.12,81.15,35.5,33.21,31.93,40.12,44.24,38.01,38.97,39.83,38.69,43,92.25
62818,93.86,98.12,31.47,29.33,30.58,30.4,31.93,30.58,31.47,32.03,32.51,32.12,81.77,35.62,33.31,31.93,40.27,44.24,38.14,38.97,39.83,38.69,43.17,92.25
62837,94.68,99.02,44.6,29.33,30.58,30.4,31.93,30.58,31.47,31.93,32.51,32.12,81.15,35.5,33.21,31.93,40.27,44.24,38.01,38.97,39.68,38.69,43,92.25
62857,94.68,99.94,31.47,29.33,30.58,30.4,32.03,30.58,31.47,32.03,32.51,32.12,81.77,35.5,33.31,31.93,40.27,44.24,38.01,38.97,39.83,38.69,43,92.25
62876,94.68,99.94,31.47,29.33,30.58,30.4,31.93,30.58,31.47,32.03,32.51,32.12,81.77,35.5,33.21,31.84,40.27,44.24,38.01,38.83,39.83,38.55,43.17,92.25
62896,94.68,99.94,31.47,29.33,30.58,30.4,31.93,30.58,31.56,32.03,32.51,32.12,81.15,35.5,33.21,31.93,40.27,44.24,38.01,38.97,39.83,38.69,43.17,93.05
62914,94.68,99.94,31.47,29.33,30.58,30.4,31.93,30.58,31.56,32.03,32.51,32.12,81.77,35.5,33.31,31.84,40.27,44.42,38.01,38.97,39.83,38.69,43.52,93.05
62935,95.52,100.87,31.47,29.33,30.58,30.4,31.93,30.58,31.56,32.03,32.51,32.12,81.77,35.5,33.31,31.93,40.27,44.24,38.01,38.83,39.83,38.69,43.52,93.05
62955,95.52,100.87,31.47,29.33,30.58,30.4,31.93,30.58,31.47,32.03,32.51,32.12,81.77,35.5,33.31,31.93,40.27,44.24,38.14,38.97,39.83,38.55,43.7,93.05
62974,95.52,100.87,31.02,29.33,30.58,30.4,31.93,30.58,31.47,31.93,32.51,32.12,81.15,35.5,33.21,31.93,40.27,44.24,38.01,38.83,39.83,38.69,43.7,93.05
62994,95.52,101.83,31.02,29.33,30.58,30.4,31.93,30.58,31.47,31.93,32.51,32.12,81.77,35.5,33.31,31.93,40.27,44.24,38.14,38.97,39.83,38.69,43.7,93.86
63013,95.52,101.83,31.02,29.33,30.58,30.49,31.93,30.58,31.47,32.03,32.51,32.12,81.77,35.5,33.21,31.93,40.27,44.42,38.01,38.97,39.83,38.55,43.7,93.05
63033,95.52,101.83,31.56,29.33,30.58,30.4,31.93,30.58,31.47,31.93,32.51,32.12,81.77,35.5,33.31,31.93,40.27,44.42,38.14,38.97,39.83,38.69,43.52,93.05
63052,95.52,101.83,31.56,29.33,30.58,30.4,31.93,30.58,31.47,31.93,32.51,32.12,81.15,35.5,33.31,31.93,40.27,44.42,38.14,38.83,39.83,38.69,43.7,93.86
63072,95.52,100.87,31.56,29.33,30.49,30.4,31.93,30.58,31.47,32.03,32.51,32.12,81.15,35.62,33.31,31.93,40.27,44.24,38.01,38.97,39.83,38.69,43.7,93.05
63093,95.52,101.83,31.56,29.33,30.58,30.4,31.93,30.58,31.47,32.03,32.51,32.12,81.15,35.5,33.31,31.84,40.27,44.24,38.01,38.97,39.83,38.69,43.7,93.86
63111,95.52,100.87,31.56,29.33,30.58,30.4,31.93,30.58,31.47,31.93,32.51,32.12,81.77,35.5,33.21,31.84,40.27,44.24,38.14,38.83,39.83,38.55,43.52,93.86
63132,95.52,101.83,31.56,29.25,30.58,30.4,31.93,30.58,31.47,31.93,32.51,32.12,81.77,35.5,33.31,31.93,40.12,44.42,38.01,38.83,39.83,38.69,43.35,93.86
63150,95.52,101.83,31.56,29.33,30.58,30.4,31.93,30.58,31.47,32.03,32.51,32.12,81.15,35.5,33.31,31.93,40.12,44.24,38.14,38.97,39.83,38.69,43.52,93.86
