Time_ms,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10,Sensor 11,Sensor 12,Sensor 13,Sensor 14,Sensor 15,Sensor 16,Sensor 17,Sensor 18,Sensor 19,Sensor 20,Sensor 21,Sensor 22,Sensor 23,Sensor 24
50919,98.12,97.24,31.29,29.33,30.49,30.58,32.91,31.02,31.11,31.47,32.41,32.22,71.96,34.71,33.01,31.84,40.12,45.93,38.27,38.41,39.83,38.69,43,91.47
36975,46.52,101.83,31.56,29.9,30.49,30.49,65.42,31.2,34.27,31.84,32.51,32.22,57.41,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,92.25
37222,45.35,101.83,31.56,29.98,30.49,30.58,65.02,31.2,31.56,31.84,32.41,32.22,56.51,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,92.25
37243,44.6,102.8,31.47,29.9,30.49,30.49,65.02,31.2,31.65,31.84,32.51,32.22,57.72,36.34,33.01,31.29,40.27,45.35,38.55,38.83,39.98,38.69,43.17,92.25
37263,44.24,102.8,31.47,29.98,30.49,30.49,65.02,31.2,31.65,31.84,32.41,32.12,58.03,36.34,32.91,31.29,40.27,45.16,38.55,38.97,39.98,38.69,43.17,92.25
37282,44.06,101.83,31.56,29.9,30.49,30.58,65.02,31.2,31.65,31.84,32.41,32.22,57.41,36.22,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,92.25
37302,44.06,102.8,31.56,29.9,30.49,30.49,65.02,31.2,31.65,31.84,32.51,32.22,57.41,36.34,32.91,31.29,40.27,45.35,38.41,38.97,39.98,38.69,43.17,92.25
37321,43.88,101.83,31.56,29.98,30.49,30.49,65.42,31.2,31.65,31.84,32.51,32.22,57.41,36.34,32.91,31.29,40.12,45.35,38.55,38.97,39.83,38.69,43.17,91.47
37341,44.42,101.83,31.47,29.9,30.49,30.58,65.02,31.2,31.65,31.84,32.41,32.22,57.72,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.83,38.69,43.17,92.25
37360,44.42,101.83,31.56,29.9,30.49,30.49,65.02,31.2,31.65,31.84,32.51,32.22,57.72,36.22,32.91,31.29,40.27,45.16,38.55,38.97,39.98,38.69,43.17,92.25
37380,44.79,101.83,31.47,29.9,30.49,30.49,65.42,31.2,31.65,31.84,32.51,32.22,57.72,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,92.25
37400,44.6,101.83,31.47,29.9,30.49,30.49,65.42,31.2,31.65,31.84,32.51,32.22,58.66,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,92.25
37419,44.6,102.8,31.47,29.9,30.49,30.49,65.02,31.2,31.65,31.84,32.51,32.22,57.41,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.83,38.69,43.17,92.25
37439,44.97,101.83,31.56,29.9,30.49,30.49,65.42,31.2,31.65,31.84,32.51,32.22,57.11,36.22,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,93.05
37458,96.37,103.78,31.56,29.9,30.49,30.49,65.42,31.2,31.65,31.84,32.51,32.12,56.81,36.34,32.91,31.29,40.12,45.35,38.55,38.97,39.98,38.69,43.17,93.05
37478,100.87,104.79,31.56,29.9,30.49,30.49,65.42,31.2,31.65,31.84,32.51,32.12,57.41,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,93.86
37497,100.87,104.79,31.56,29.9,30.49,30.49,65.42,31.2,31.65,31.84,32.51,32.22,57.11,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.83,43.17,93.05
37517,100.87,104.79,31.56,29.9,30.49,30.49,65.42,31.2,31.65,31.84,32.51,32.12,57.11,36.34,32.91,31.29,40.27,45.35,38.55,38.83,39.98,38.69,43.17,93.05
37538,100.87,104.79,31.56,29.98,30.49,30.49,65.42,31.2,31.65,31.84,32.51,32.22,57.41,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,93.05
37556,99.94,103.78,31.47,29.9,30.49,30.49,65.42,31.2,31.65,31.84,32.51,32.22,57.41,36.34,32.91,31.29,40.27,45.35,38.55,38.83,39.98,38.69,43.17,93.05
37577,100.87,104.79,31.47,29.9,30.49,30.49,65.42,31.2,31.65,31.84,32.51,32.22,57.11,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,93.05
37595,100.87,104.79,31.47,29.9,30.49,30.49,65.42,31.2,31.65,31.84,32.51,32.22,57.41,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,93.05
37616,99.94,104.79,31.47,29.9,30.49,30.49,65.42,31.2,31.65,31.84,32.51,32.22,57.41,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,93.05
37636,99.02,104.79,31.56,29.9,30.49,30.49,65.42,31.2,31.65,31.84,32.41,32.22,57.11,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.83,38.69,43.17,92.25
37656,63.49,101.83,31.56,29.9,30.49,30.58,65.42,31.2,31.65,31.84,32.51,32.22,56.81,36.22,32.91,31.29,40.27,45.35,38.55,38.97,39.83,38.55,43.17,92.25
37675,76.55,102.8,31.56,29.9,30.49,30.49,65.02,31.2,31.65,31.84,32.51,32.22,57.41,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,92.25
37695,57.41,101.83,31.47,29.9,30.49,30.49,65.02,31.2,31.65,31.84,32.51,32.22,57.11,36.34,32.91,31.29,40.27,45.16,38.55,38.97,39.83,38.69,43.17,92.25
37714,67.04,101.83,31.47,29.9,30.49,30.49,65.02,31.2,31.65,31.84,32.51,32.22,56.81,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.83,43.17,91.47
37734,72.93,102.8,31.56,29.9,30.49,30.58,65.42,31.2,31.65,31.84,32.51,32.22,56.81,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,92.25
37753,79.95,103.78,31.47,29.9,30.49,30.49,65.42,31.2,31.65,31.84,32.51,32.22,57.11,36.34,32.91,31.29,40.12,45.16,38.55,38.97,39.98,38.69,43.17,91.47
37773,81.15,103.78,31.47,29.9,30.49,30.49,65.42,31.2,31.84,31.84,32.51,32.22,57.11,36.34,32.91,31.29,40.27,45.35,38.55,38.83,39.98,38.69,43.17,93.05
37794,65.02,102.8,31.47,29.9,30.49,30.49,65.42,31.2,32.71,31.84,32.41,32.22,57.41,36.34,32.91,31.29,40.27,45.35,38.55,38.83,39.98,38.69,43.17,91.47
37812,74.95,103.78,31.47,29.9,30.49,30.58,65.42,31.2,33.21,31.84,32.41,32.22,58.03,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,92.25
37833,67.88,101.83,31.56,29.9,30.49,30.49,65.42,31.2,35.27,31.84,32.51,32.12,58.34,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,92.25
37851,73.43,102.8,31.47,29.9,30.49,30.58,65.42,31.2,36.46,31.84,32.51,32.22,58.34,36.34,32.91,31.29,40.12,45.35,38.55,38.97,39.98,38.69,43.17,92.25
37872,65.02,102.8,31.47,29.9,30.49,30.58,65.42,31.2,38.97,31.84,32.51,32.22,58.66,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,93.05
37890,79.95,103.78,31.47,29.9,30.49,30.49,65.42,31.2,38.97,31.84,32.51,32.22,58.66,36.34,33.01,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,92.25
37910,71.01,102.8,31.56,29.9,30.49,30.49,65.42,31.2,38.97,31.84,32.51,32.22,58.34,36.34,32.91,31.29,40.27,45.16,38.41,38.97,39.98,38.69,43.17,93.05
37931,62.03,102.8,31.47,29.9,30.49,30.49,65.42,31.2,38.97,31.84,32.41,32.22,58.98,36.34,32.91,31.29,40.27,45.35,38.55,38.83,39.98,38.55,43.17,92.25
